Sentence ID,Dialogue ID,author,shortcode,timestamp,likes,comments,caption,text,Hash_tag2,clean_txt,txt_lower
8,8,shmee150,CSWxTcgr1gy,2021-08-09 13:44:41,26925,192,"Photo shared by Tim - Shmee on August 09, 2021 tagging @fordperformance, @ford, @shelbyamerican, @shmee150wastaken, and @theshmeemobiles. May be an image of car and road.","Reunited with @theshmeemobiles lime green beast! Back in Miami for a quick stop before heading to California and Car Week for some crazy days ahead. It's so cool to be back with the GT500 after about 4 months where it's been tucked away in Florida, although sadly everything is too last minute to be able to get it across country for the events. That won't stop the fun though, it's great to be back! #Shelby #GT500 #Ford #Mustang #Shmeemobile #Shmee150","[['Shelby'], ['GT500'], ['Ford'], ['Mustang'], ['Shmeemobile'], ['Shmee150']]",['Reunited with theshmeemobiles lime green beast Back in Miami for a quick stop before heading to California and Car Week for some crazy days ahead Its so cool to be back with the GT500 after about 4 months where its been tucked away in Florida although sadly everything is too last minute to be able to get it across country for the events That wont stop the fun though its great to be back Shelby GT500 Ford Mustang Shmeemobile Shmee150'],['reunited with theshmeemobiles lime green beast back in miami for a quick stop before heading to california and car week for some crazy days ahead its so cool to be back with the gt500 after about 4 months where its been tucked away in florida although sadly everything is too last minute to be able to get it across country for the events that wont stop the fun though its great to be back shelby gt500 ford mustang shmeemobile shmee150']
9,9,shmee150,CSUvz2ppJvy,2021-08-08 18:53:09,44913,584,"Photo shared by Tim - Shmee on August 08, 2021 tagging @mercedesamg, and @theshmeemobiles. May be an image of car.","It's time! @theshmeemobiles AMG GT Black Series is being resprayed AMG Solarbeam Yellow, and I cannot wait to see how it looks. This was always the plan hence the choice of Graphite Grey Magno for the base as it's the easiest to work with. The transformation is being done by @chartwell_derby just as per my SLS BS respray to Mystic Blue and the repairs to my Senna before. Why not just order it like this you say? It wasn't an option, and believe me I tried. It was absolutely impossible to order the car (RHD UK allocation) in anything other than the standard 8 choices available so this is the only way. What about the value? Life is too short, I'm going to do many thousands of miles in this car for many years to come, reselling it is not in the plans. #Mercedes #AMG #GTBlackSeries #Shmeemobile #Shmee150","[['Mercedes'], ['AMG'], ['GTBlackSeries'], ['Shmeemobile'], ['Shmee150']]",['Its time theshmeemobiles AMG GT Black Series is being resprayed AMG Solarbeam Yellow and I cannot wait to see how it looks This was always the plan hence the choice of Graphite Grey Magno for the base as its the easiest to work with The transformation is being done by chartwellderby just as per my SLS BS respray to Mystic Blue and the repairs to my Senna before Why not just order it like this you say It wasnt an option and believe me I tried It was absolutely impossible to order the car RHD UK allocation in anything other than the standard 8 choices available so this is the only way What about the value Life is too short Im going to do many thousands of miles in this car for many years to come reselling it is not in the plans Mercedes AMG GTBlackSeries Shmeemobile Shmee150'],['its time theshmeemobiles amg gt black series is being resprayed amg solarbeam yellow and i cannot wait to see how it looks this was always the plan hence the choice of graphite grey magno for the base as its the easiest to work with the transformation is being done by chartwellderby just as per my sls bs respray to mystic blue and the repairs to my senna before why not just order it like this you say it wasnt an option and believe me i tried it was absolutely impossible to order the car rhd uk allocation in anything other than the standard 8 choices available so this is the only way what about the value life is too short im going to do many thousands of miles in this car for many years to come reselling it is not in the plans mercedes amg gtblackseries shmeemobile shmee150']
10,10,shmee150,CSPncQZiNnL,2021-08-06 19:03:49,24190,158,"Photo shared by Tim - Shmee on August 06, 2021 tagging @mercedesamg, @shmee150wastaken, @theshmeemobiles, and @theshmuseum. May be an image of car.","My AMG Black Series trio are finally together at @theshmuseum! It's a dream come true to have these three incredibly special cars in @theshmeemobiles collection and now for the first time all here following pickup of the SLS BS from @avantgarde_mb fully ready to go. After taking delivery of the GT BS and C63 BS recently, I've been itching to bring the SLS BS home and now need to start planning a tour to Affalterbach... #Mercedes #AMG #BlackSeries #Shmeemobile #TheShmuseum #Shmee150","[['Mercedes'], ['AMG'], ['BlackSeries'], ['Shmeemobile'], ['TheShmuseum'], ['Shmee150']]",['My AMG Black Series trio are finally together at theshmuseum Its a dream come true to have these three incredibly special cars in theshmeemobiles collection and now for the first time all here following pickup of the SLS BS from avantgardemb fully ready to go After taking delivery of the GT BS and C63 BS recently Ive been itching to bring the SLS BS home and now need to start planning a tour to Affalterbach Mercedes AMG BlackSeries Shmeemobile TheShmuseum Shmee150'],['my amg black series trio are finally together at theshmuseum its a dream come true to have these three incredibly special cars in theshmeemobiles collection and now for the first time all here following pickup of the sls bs from avantgardemb fully ready to go after taking delivery of the gt bs and c63 bs recently ive been itching to bring the sls bs home and now need to start planning a tour to affalterbach mercedes amg blackseries shmeemobile theshmuseum shmee150']
11,11,shmee150,CSKcS1PieRv,2021-08-04 18:50:12,20139,71,"Photo shared by Tim - Shmee on August 04, 2021 tagging @shmee150wastaken, and @theshmeemobiles. May be an image of 1 person, car and road.","Back to the old school, car spotting in London with @theshmeemobiles original V8 Vantage Roadster! It feels like a decade ago, enjoying the Aston, and filming Aventadors, they just changed from the original LP700-4 to the SVJs! Plus, found a Huayra Roadster and LaFerrari too, all in my new video taking a walk down memory lane with a truly special car in my collection #Lamborghini #Aventador #SVJ #carspotting #AstonMartin #Vantage #Shmeemobile #londoncars #Shmee150","[['Lamborghini'], ['Aventador'], ['SVJ'], ['carspotting'], ['AstonMartin'], ['Vantage'], ['Shmeemobile'], ['londoncars'], ['Shmee150']]",['Back to the old school car spotting in London with theshmeemobiles original V8 Vantage Roadster It feels like a decade ago enjoying the Aston and filming Aventadors they just changed from the original LP7004 to the SVJs Plus found a Huayra Roadster and LaFerrari too all in my new video taking a walk down memory lane with a truly special car in my collection Lamborghini Aventador SVJ carspotting AstonMartin Vantage Shmeemobile londoncars Shmee150'],['back to the old school car spotting in london with theshmeemobiles original v8 vantage roadster it feels like a decade ago enjoying the aston and filming aventadors they just changed from the original lp7004 to the svjs plus found a huayra roadster and laferrari too all in my new video taking a walk down memory lane with a truly special car in my collection lamborghini aventador svj carspotting astonmartin vantage shmeemobile londoncars shmee150']
12,12,diwd_official,CSxJrglL0Ve,2021-08-19 19:37:56,10238,72,"Photo by DOITWITHDANÃ¢ÂÂ¢ on August 19, 2021. May be an image of car and outdoors.","These are my two favorites. After the dually is done, I'm finishing the 73'... I can't stop looking at old photos and videos of it.",[],['These are my two favorites After the dually is done Im finishing the 73 I cant stop looking at old photos and videos of it'],['these are my two favorites after the dually is done im finishing the 73 i cant stop looking at old photos and videos of it']
13,13,diwd_official,CSvMcGNp8XA,2021-08-19 01:23:34,3092,15,"Photo shared by DOITWITHDANÃ¢ÂÂ¢ on August 18, 2021 tagging @atlantacustomwraps, @killboydotcom, and @smokymountaindrives_. May be an image of car and road.",Yo! Dragon Rally XI is this weekend!!! An absolutely epic chance to run the dragon with the best drivers on the road (I'm not in that category Ã°ÂÂÂ) but @smokymountaindrives_ go check them out!,[],['Yo Dragon Rally XI is this weekend An absolutely epic chance to run the dragon with the best drivers on the road Im not in that category Ã°Â\x9fÂ\x98Â\x82 but smokymountaindrives go check them out'],['yo dragon rally xi is this weekend an absolutely epic chance to run the dragon with the best drivers on the road im not in that category ã°â\x9fâ\x98â\x82 but smokymountaindrives go check them out']
14,14,diwd_official,CSnI2curHnM,2021-08-15 22:18:17,16981,302,"Photo by DOITWITHDANÃ¢ÂÂ¢ on August 15, 2021. May be an image of 3 people and text that says 'The U.S: *Withdraws from Afghanistan after 20 years of occupation The Taliban:'.","This shit is messed up, on a real note.",[],['This shit is messed up on a real note'],['this shit is messed up on a real note']
15,15,diwd_official,CSiUMZ7sjBW,2021-08-14 01:21:12,6988,36,"Photo by DOITWITHDANÃ¢ÂÂ¢ on August 13, 2021. May be an image of car and outdoors.","Door still go up! 

We dropped a new podcast on WrapLife today with @atlantacustomwraps @killboydotcom and @mac_man_atl",[],['Door still go up \n\nWe dropped a new podcast on WrapLife today with atlantacustomwraps killboydotcom and macmanatl'],['door still go up \n\nwe dropped a new podcast on wraplife today with atlantacustomwraps killboydotcom and macmanatl']
16,16,diwd_official,CSgEH6PMmea,2021-08-13 04:22:18,3408,23,"Photo by DOITWITHDANÃ¢ÂÂ¢ on August 12, 2021. May be an image of car.",Late night creepin',[],['Late night creepin'],['late night creepin']
17,17,diwd_official,CSe1wnQlwNc,2021-08-12 16:57:58,15351,102,,,[],['NA'],['na']
