,index,ï»¿,author,total_followers,total_following,number_posts,shortcode,timestamp,Date,time,likes,comments,engagement,average_engagement,caption,text,Tag_1,Tag_2,Tag_3,Tag_4,Tag_5,Tag_6,Tag_7,Tag_8,Tag_9,Tag_10,Tag_11,neg,neu,pos,compound
0,0,0,shmee150,1581500,2857,10552,CSzoxcyrzj2,1629485286,44428.7834,44428.7834,19080,49,1.209547898,1.5853725369999998,"Photo shared by Tim - Shmee on August 20, 2021 tagging @philwilson, @shmee150wastaken, and @bannedauto. May be an image of 1 person and car.",Back at the wheel of an SF90 With bannedauto and philwilson Im checking out this stunning Assetto Fiorano car and thinking about the final spec Ill opt for mine which actually needs to be locked next month Im also delighted to say that again the car has impressed me I think its one of the very best supercars currently on the market mixing insane performance with new technology in such a seamless way Needless to say Im quite excited about it Ferrari SF90 futureshmeemobile AssettoFiorano BannedAuto LAcars Shmee150,Ferrari ,SF90 ,futureshmeemobile ,AssettoFiorano ,BannedAuto ,LAcars ,Shmee150,,,,,0.054,0.782,0.164,0.9019
1,1,1,shmee150,1581500,2857,10552,CSr2jQPjy59,1629224075,44425.76013,44425.76013,22143,100,1.4064495730000002,1.5853725369999998,"Photo shared by Tim - Shmee on August 17, 2021 tagging @ct2go, @shmee150wastaken, and @supercarsteven. May be an image of car and road.",Its a P1 kinda day Out for a drive in supercarstevens newly purchased Ice Silver P1 in a double convoy with ct2gos full carbon P1 too Does make me wonder about P1 vs Senna two very different Ultimate Series cars in their approach and still remarkable how game changing the P1 was when presented nearly 9 years ago McLaren P1 McLarenP1 testdrive CarWeek Shmee150,McLaren ,P1 ,McLarenP1 ,testdrive ,CarWeek ,Shmee150,,,,,,0.0,0.942,0.058,0.5574
2,2,2,shmee150,1581500,2857,10552,CSpWzdxJIIV,1629140321,44424.79075,44424.79075,21606,130,1.374391401,1.5853725369999998,"Photo shared by Tim - Shmee on August 16, 2021 tagging @mercedesbenz, @mercedesbenzmuseum, @mbclassiccenter, and @shmee150wastaken. May be an image of 1 person, car and outdoors.",The beautiful 300SL Roadster is without a shadow of a doubt my dream classic car Driving this particular example thats for sale with mbclassiccenter thanks to mercedesbenzmuseum while car spotting countless hypercars around Pebble Beach could not be better Maybe one day for theshmeemobiles maybe one day Mercedes 300SL PebbleBeach CarWeek testdrive Shmee150,Mercedes ,300SL ,PebbleBeach ,CarWeek ,testdrive ,Shmee150,,,,,,0.041,0.776,0.184,0.8178
3,3,3,shmee150,1581500,2857,10552,CSkdxyJAk2n,1628976206,44422.89127,44422.89127,30069,113,1.9084413530000002,1.5853725369999998,"Photo shared by Tim - Shmee on August 14, 2021 tagging @bugatti, @thequailevents, and @shmee150wastaken. May be an image of car and outdoors.",The breathtaking bugatti Bolide at thequailevents which is now going into production there will be 40 of them made This year had some awesome cars on show with the new Lamborghini Countach also making its debut Bugatti Bolide Quail CarWeek Shmee150,Bugatti ,Bolide ,Quail ,CarWeek ,Shmee150,,,,,,,0.0,0.846,0.154,0.7964
4,4,4,shmee150,1581500,2857,10552,CSfHSEzi3BD,1628796639,44420.81295,44420.81295,34073,140,2.163325956,1.5853725369999998,"Photo shared by Tim - Shmee on August 12, 2021 tagging @astonmartinlagonda, and @shmee150wastaken. May be an image of car.",The new astonmartinlagonda Valkyrie Spider has just launched and Ive taken a first look to check it out and see how the new roof system works There will be 85 units in total and it features a 3 piece folding roof panel with new dihedral doors but maintains the same epic powertrain and details First look video is live on the channel right now AstonMartin Valkyrie ValkyrieSpider firstlook PebbleBeach CarWeek Shmee150,AstonMartin ,Valkyrie ,ValkyrieSpider ,firstlook ,PebbleBeach ,CarWeek ,Shmee150,,,,,0.0,0.982,0.018,0.0644
5,5,5,shmee150,1581500,2857,10552,CScxYOcCz0-,1628718046,44419.90331,44419.90331,22265,110,1.41479608,1.5853725369999998,"Photo shared by Tim - Shmee on August 11, 2021 tagging @shmee150wastaken, and @czinger_vehicles. May be an image of car and outdoors.",First stop at Car Week to check out the updated czinger_vehicles 21C Now the lap record holder at Laguna Seca it features a wider body and even more aero while still boasting a 288l TT V8 and 3 electric motors for 1250hp while weighing just 1250kg too Uniquely it features inline tandem seating with a central position and must make for the most extraordinary drive Czinger Czinger21C CarWeek Shmee150,Czinger ,Czinger21C ,CarWeek ,Shmee150,,,,,,,,0.033,0.967,0.0,-0.296
6,6,6,shmee150,1581500,2857,10552,CScN67giFvV,1628699456,44419.68815,44419.68815,13466,77,0.856338919,1.5853725369999998,"Photo shared by Tim - Shmee on August 11, 2021 tagging @porsche, @shmee150wastaken, and @hgreglux. May be an image of car and road.",Driving the stunning Porsche Targa 4S Heritage Design Edition thanks to hgreglux in Miami The details on this car are spectacular and I actually would have bought one if allocations had been available but today Im taking my first proper look around it and going out for a drive to see what Im missing out on Here in Florida H Greg Lux actually have 3 of them for sale in different specs this one in Cherry Red with a manual gearbox is my pick for sure Porsche 911Targa HeritageDesignEdition testdrive HGregLux Miami Shmee150,Porsche ,911Targa ,HeritageDesignEdition ,testdrive ,HGregLux ,Miami ,Shmee150,,,,,0.03,0.898,0.072,0.4404
7,7,7,shmee150,1581500,2857,10552,CSZ1qZfi1mw,1628619629,44418.76422,44418.76422,20223,56,1.282263674,1.5853725369999998,"Photo shared by Tim - Shmee on August 10, 2021 tagging @savagegarage, and @shmee150wastaken. May be an image of 1 person, standing, car and outdoors.",Randy savagegarage has bought back his Pagani Huayra I never saw it when he owned it before but what a car for him to have in the collection and actually drive as much as he does Oh that SLS Black Series is new too good choice SavageGarage Pagani Huayra Miami Shmee150,SavageGarage ,Pagani ,Huayra ,Miami ,Shmee150,,,,,,,0.0,0.926,0.074,0.5927
8,8,8,shmee150,1581500,2857,10552,CSWxTcgr1gy,1628516681,44417.5727,44417.5727,26925,192,1.7146380019999998,1.5853725369999998,"Photo shared by Tim - Shmee on August 09, 2021 tagging @fordperformance, @ford, @shelbyamerican, @shmee150wastaken, and @theshmeemobiles. May be an image of car and road.",Reunited with theshmeemobiles lime green beast Back in Miami for a quick stop before heading to California and Car Week for some crazy days ahead Its so cool to be back with the GT500 after about 4 months where its been tucked away in Florida although sadly everything is too last minute to be able to get it across country for the events That wont stop the fun though its great to be back Shelby GT500 Ford Mustang Shmeemobile Shmee150,Shelby ,GT500 ,Ford ,Mustang ,Shmeemobile ,Shmee150,,,,,,0.136,0.785,0.078,-0.4957
9,9,9,shmee150,1581500,2857,10552,CSUvz2ppJvy,1628448789,44416.78691,44416.78691,44913,584,2.876825798,1.5853725369999998,"Photo shared by Tim - Shmee on August 08, 2021 tagging @mercedesamg, and @theshmeemobiles. May be an image of car.",Its time theshmeemobiles AMG GT Black Series is being resprayed AMG Solarbeam Yellow and I cannot wait to see how it looks This was always the plan hence the choice of Graphite Grey Magno for the base as its the easiest to work with The transformation is being done by chartwell_derby just as per my SLS BS respray to Mystic Blue and the repairs to my Senna before Why not just order it like this you say It wasnt an option and believe me I tried It was absolutely impossible to order the car RHD UK allocation in anything other than the standard 8 choices available so this is the only way What about the value Life is too short Im going to do many thousands of miles in this car for many years to come reselling it is not in the plans Mercedes AMG GTBlackSeries Shmeemobile Shmee150,Mercedes ,AMG ,GTBlackSeries ,Shmeemobile ,Shmee150,,,,,,,0.0,0.923,0.077,0.8668
